,Complexity,PySR equation,Parameterized equation,Parameterization,"Parameters: (best-fit, +1, -1)",Correlation,"Parameterized equation, unscaled",RMSE,R2,NDF,Chi2 (before refit),Chi2,Chi2/NDF (before refit),Chi2/NDF
0,1,7.75,a1,{'a1': 7.75},"{'a1': (7.74857, 0.0717, -0.0717)}",{},a1,1.3,-0.09606,289,2798.0,2798.0,9.68,9.68
1,2,7.75,a1,{'a1': 7.75},"{'a1': (7.74857, 0.0717, -0.0717)}",{},a1,1.3,-0.09606,289,2798.0,2798.0,9.68,9.68
2,3,x1 + 7.46,a1 + x1,{'a1': 7.46},"{'a1': (7.46448, 0.0622, -0.0622)}",{},a1 + x1,1.12,0.1863,289,2109.0,2109.0,7.298,7.298
3,6,3.55*x1 + 6.74,a1*x1 + a2,"{'a1': 3.55, 'a2': 6.74}","{'a1': (3.55287, 0.20606, -0.20606), 'a2': (6.73923, 0.0772426, -0.0772426)}","{'a1, a2': -0.7568}",a1*x1 + a2,0.9176,0.4537,288,1374.0,1374.0,4.771,4.771
4,9,2*x1 + exp(x1) + 5.82,a1 + 2*x1 + exp(x1),{'a1': 5.82},"{'a1': (5.80765, 0.0502, -0.0502)}",{},a1 + 2*x1 + exp(x1),0.9165,0.4549,289,1371.0,1371.0,4.745,4.744
5,11,2*x1 + exp(0.984*x1) + 5.82,a2 + 2*x1 + exp(a1*x1),"{'a1': 0.984, 'a2': 5.82}","{'a1': (0.991743, 0.0845432, -0.0912228), 'a2': (5.81163, 0.0659357, -0.0654797)}","{'a1, a2': -0.643}",a2 + 2*x1 + exp(a1*x1),0.9161,0.4555,288,1371.0,1371.0,4.76,4.76
6,13,x1 + exp(1.88*x0) + 8.91*exp(-1.42*x0),a3*exp(a1*x0) + x1 + exp(a2*x0),"{'a1': -1.42, 'a2': 1.88, 'a3': 8.91}","{'a1': (-1.6456, 0.063992, -0.063949), 'a2': (2.10065, 0.0241394, -0.0251613), 'a3': (8.63726, 0.143012, -0.142082)}","{'a1, a2': -0.7984, 'a1, a3': -0.8177, 'a2, a3': 0.5008}",a3*exp(a1*x0) + x1 + exp(a2*x0),0.7352,0.6493,287,1099.0,793.2,3.83,2.764
7,15,x0*exp(1.95*x0) + x1 + 9.39*exp(-1.13*x0),a3*exp(a1*x0) + x0*exp(a2*x0) + x1,"{'a1': -1.13, 'a2': 1.95, 'a3': 9.39}","{'a1': (-1.12774, 0.0449065, -0.0448172), 'a2': (1.9464, 0.0317882, -0.0331973), 'a3': (9.39418, 0.131389, -0.130732)}","{'a1, a2': -0.7805, 'a1, a3': -0.8444, 'a2, a3': 0.5153}",a3*exp(a1*x0) + x0*exp(a2*x0) + x1,0.7415,0.6432,287,812.1,812.1,2.83,2.829
8,17,x0*exp(1.86*x0) + 3.44*x1 + 8.73*exp(-1.24*x0),a3*x1 + a4*exp(a1*x0) + x0*exp(a2*x0),"{'a1': -1.24, 'a2': 1.86, 'a3': 3.44, 'a4': 8.73}","{'a1': (-1.18722, 0.0267741, -0.0267678), 'a2': (1.88415, 0.0181234, -0.0185698), 'a3': (3.27659, 0.0852446, -0.0852447), 'a4': (8.65969, 0.0761036, -0.075941)}","{'a1, a2': -0.7576, 'a1, a3': -0.0892, 'a1, a4': -0.7494, 'a2, a3': -0.1348, 'a2, a4': 0.521, 'a3, a4': -0.3649}",a3*x1 + a4*exp(a1*x0) + x0*exp(a2*x0),0.4127,0.8895,286,251.5,231.8,0.8794,0.8106
9,19,x0*exp(1.89*x0) + 3.17*x1 + 8.75*exp(-1.18*x0),a3*x1 + a4*exp(a1*x0) + x0*exp(a2*x0),"{'a1': -1.18, 'a2': 1.89, 'a3': 3.17, 'a4': 8.75}","{'a1': (-1.18722, 0.0267739, -0.026768), 'a2': (1.88415, 0.0181235, -0.0185697), 'a3': (3.27659, 0.0852447, -0.0852446), 'a4': (8.65969, 0.076104, -0.0759406)}","{'a1, a2': -0.7576, 'a1, a3': -0.0892, 'a1, a4': -0.7494, 'a2, a3': -0.1348, 'a2, a4': 0.521, 'a3, a4': -0.3649}",a3*x1 + a4*exp(a1*x0) + x0*exp(a2*x0),0.4127,0.8895,286,237.0,231.8,0.8286,0.8106
