,"Parameterized equation, unscaled","Parameters: (best-fit, +1, -1)",Correlation,RMSE,R2,NDF,Chi2,Chi2/NDF
0,1.0*(a1),"{'a1': (0.000283, 0, 0)}",{},37.07,-0.2158,35,6359000.0,181700.0
1,1.0*(a1**((x0 - 1568.5) * 0.000145275)),"{'a1': (0.000691, 0, 0)}",{},36.73,-0.1932,35,6161000.0,176000.0
2,1.0*(a1**((x0 - 1568.5) * 0.000145275)*a2),"{'a1': (9.06e-06, 0, 0), 'a2': (54.3973, 6.77, -6.77)}",{},20.76,0.6189,34,2191000.0,64430.0
3,1.0*(a2**(a1 + exp(((x0 - 1568.5) * 0.000145275)))),"{'a1': (-1.42, 0, 0), 'a2': (4.85834e-05, 1.55e-05, -1.55e-05)}",{},17.95,0.715,34,2237000.0,65780.0
4,1.0*(a2**(a1 + a3*((x0 - 1568.5) * 0.000145275))),"{'a1': (-0.504, 0, 0), 'a2': (5.36976e-05, 1.88245e-06, -1.79744e-06), 'a3': (2.4061, 0.0323158, -0.0317567)}","{'a2, a3': -0.5563}",1.466,0.9981,33,28850.0,874.2
5,1.0*(a2**(a1 + a3*tanh(((x0 - 1568.5) * 0.000145275)))),"{'a1': (-0.504, 0, 0), 'a2': (5.36341e-05, 1.74305e-06, -1.67006e-06), 'a3': (2.41171, 0.0299056, -0.0294085)}","{'a2, a3': -0.5522}",1.442,0.9982,33,24920.0,755.3
6,1.0*(a2**(a1 + a3*((x0 - 1568.5) * 0.000145275))),"{'a1': (-0.5, 0, 0), 'a2': (4.96357e-05, 1.75427e-06, -1.67449e-06), 'a3': (2.38701, 0.0320581, -0.0315059)}","{'a2, a3': -0.5556}",1.466,0.9981,33,28850.0,874.2
7,1.0*(a2**(((x0 - 1568.5) * 0.000145275) + (a1 + ((x0 - 1568.5) * 0.000145275))*exp(-((x0 - 1568.5) * 0.000145275)))),"{'a1': (-0.499216, 0.00492934, -0.00496228), 'a2': (4.74559e-05, 5.59875e-06, -5.06776e-06)}","{'a1, a2': -0.9874}",1.034,0.9991,33,11530.0,349.3
8,1.0*(a2**(a1 + ((x0 - 1568.5) * 0.000145275) + ((x0 - 1568.5) * 0.000145275)/(a3 + ((x0 - 1568.5) * 0.000145275)))),"{'a1': (-0.571056, 0.00296357, -0.00292967), 'a2': (0.00015696, 6.99134e-06, -6.83947e-06), 'a3': (0.471326, 0.00501173, -0.00488127)}","{'a1, a2': -0.997, 'a1, a3': 0.9808, 'a2, a3': -0.9722}",0.1218,1.0,32,243.3,7.602
9,1.0*(a2**(a1 + ((x0 - 1568.5) * 0.000145275) + tanh(((x0 - 1568.5) * 0.000145275)/(a3 + ((x0 - 1568.5) * 0.000145275))))),"{'a1': (-0.538106, 0.00323277, -0.00317854), 'a2': (9.21418e-05, 5.02787e-06, -4.90507e-06), 'a3': (0.522409, 0.00672661, -0.00650227)}","{'a1, a2': -0.9967, 'a1, a3': 0.9768, 'a2, a3': -0.9655}",0.1839,1.0,32,408.0,12.75
10,1.0*(a2**(a1 + a4*((x0 - 1568.5) * 0.000145275) + ((x0 - 1568.5) * 0.000145275)/(a3 + ((x0 - 1568.5) * 0.000145275)))),"{'a1': (-0.889641, 0.0298, -0.0298), 'a2': (0.00359819, 0.000676, -0.000676), 'a3': (0.339232, 0.00876, -0.00876), 'a4': (2.00351, 0.0978, -0.0978)}","{'a1, a2': -0.9991, 'a1, a3': 0.9907, 'a1, a4': -0.998, 'a2, a3': -0.9917, 'a2, a4': 0.9994, 'a3, a4': -0.985}",0.02686,1.0,31,39.47,1.273
11,1.0*(a2**(a1 + a4*((x0 - 1568.5) * 0.000145275) + ((x0 - 1568.5) * 0.000145275)/(a3 + tanh(((x0 - 1568.5) * 0.000145275))))),"{'a1': (-0.725443, 0.0245, -0.0245), 'a2': (0.00100735, 0.000234, -0.000234), 'a3': (0.384686, 0.00957, -0.00957), 'a4': (1.42649, 0.0772, -0.0772)}","{'a1, a2': -1, 'a1, a3': 0.9946, 'a1, a4': -0.9989, 'a2, a3': -0.9959, 'a2, a4': 1.0, 'a3, a4': -0.9874}",0.02375,1.0,31,30.14,0.9723
