,"Parameterized equation, unscaled","Parameters: (best-fit, +1, -1)",Covariance,Correlation,RMSE,R2,NDF,Chi2,Chi2/NDF,p-value
10,a6*(x0*(a3*x0*(a2*x0**3 + a4*x0)*(a4*x0 + a5) + a3*x0) + x0)**a1,"{'a1': (-5.66, 0, 0), 'a2': (4.55e-13, 0, 0), 'a3': (2.90315e-05, 1.56e-06, -1.56e-06), 'a4': (7.69e-05, 0, 0), 'a5': (7.8163, 0.562, -0.562), 'a6': (2.96622e+20, 2.76e+18, -2.76e+18)}","{'a3, a5': -8.787776403453511e-07, 'a3, a6': 4284326536206.3115, 'a5, a6': -1.528946951212225e+18, 'a3, a3': 2.448790039843823e-12, 'a5, a5': 0.3160777337787326, 'a6, a6': 7.612952544133508e+36}","{'a3, a5': -1, 'a3, a6': 0.9951, 'a5, a6': -0.9857}",0.03575,1.0,39,45.73,1.173,0.2128
11,a7*(a5*x0*(a3*x0*(a2*x0**3 + a3*x0)*(a4*x0 + a6) + a3*x0) + x0)**a1,"{'a1': (-5.65, 0, 0), 'a2': (4.55e-13, 0, 0), 'a3': (7.69e-05, 0, 0), 'a4': (8.98e-05, 0, 0), 'a5': (0.40515, 0.0209, -0.0209), 'a6': (7.16935, 0.507, -0.507), 'a7': (2.79392e+20, 2.64e+18, -2.64e+18)}","{'a5, a6': -0.01056172798546536, 'a5, a7': 5.472024910590873e+16, 'a6, a7': -1.3184128943651082e+18, 'a5, a5': 0.00043587733738634563, 'a6, a6': 0.2565488436052721, 'a7, a7': 6.973351191632643e+36}","{'a5, a6': -0.9967, 'a5, a7': 0.9917, 'a6, a7': -0.985}",0.03552,1.0,39,45.48,1.166,0.2202
12,a7*(x0*(a4*x0 + a6*x0*(a3*x0**2*(a2*x0**3 + a5*x0) + a5*x0)) + x0)**a1,"{'a1': (-5.64, 0, 0), 'a2': (4.55e-13, 0, 0), 'a3': (5.92e-09, 0, 0), 'a4': (3.08548e-05, 1.33e-06, -1.33e-06), 'a5': (7.69e-05, 0, 0), 'a6': (0.000236736, 3.15e-06, -3.15e-06), 'a7': (2.61039e+20, 2.13e+18, -2.13e+18)}","{'a4, a6': -4.0798210147698854e-12, 'a4, a7': 2822695252079.888, 'a6, a7': -6259278883513.492, 'a4, a4': 1.7817207290485798e-12, 'a6, a6': 9.912795450928038e-12, 'a7, a7': 4.556286156023498e+36}","{'a4, a6': -0.9738, 'a4, a7': 0.9964, 'a6, a7': -0.9329}",0.03548,1.0,39,42.64,1.093,0.3175
13,a7*(a6*x0*(a4*x0 + a5*x0*(a3*x0**2*(a2*x0**3 + a4*x0) + a4*x0)) + x0)**a1,"{'a1': (-5.64, 0, 0), 'a2': (5.76e-13, 0, 0), 'a3': (5.92e-09, 0, 0), 'a4': (7.69e-05, 0, 0), 'a5': (0.000573849, 3.16e-05, -3.16e-05), 'a6': (0.409393, 0.0172, -0.0172), 'a7': (2.61919e+20, 2.13e+18, -2.13e+18)}","{'a5, a6': -5.427769212039176e-07, 'a5, a7': -65885162378837.13, 'a6, a7': 3.62581744488366e+16, 'a5, a5': 9.971040085253033e-10, 'a6, a6': 0.0002964678195715919, 'a7, a7': 4.5187787342402686e+36}","{'a5, a6': -0.9986, 'a5, a7': -0.9789, 'a6, a7': 0.9897}",0.03678,1.0,39,42.48,1.089,0.3236
14,a7*(a6*x0*(a4*x0 + a5*x0*(a3*x0**2*(a2*x0**4 + a4*x0) + a4*x0)) + x0)**a1,"{'a1': (-5.64, 0, 0), 'a2': (1.06e-16, 0, 0), 'a3': (5.92e-09, 0, 0), 'a4': (7.69e-05, 0, 0), 'a5': (0.00057743, 3.15e-05, -3.15e-05), 'a6': (0.408045, 0.017, -0.017), 'a7': (2.61876e+20, 2.1e+18, -2.1e+18)}","{'a5, a6': -5.362956057832366e-07, 'a5, a7': -65035437031858.36, 'a6, a7': 3.5484478765296036e+16, 'a5, a5': 9.936510784214594e-10, 'a6, a6': 0.0002904277118866256, 'a7, a7': 4.4182484934170157e+36}","{'a5, a6': -1, 'a5, a7': -0.9832, 'a6, a7': 0.994}",0.03736,1.0,39,41.57,1.066,0.3593
15,a7*(a6*x0*(a4*x0 + a5*x0*(a3*x0**2*(a2*x0**5 + a4*x0) + a4*x0)) + x0)**a1,"{'a1': (-5.64, 0, 0), 'a2': (2.0000000000000002e-20, 0, 0), 'a3': (5.92e-09, 0, 0), 'a4': (7.69e-05, 0, 0), 'a5': (0.00057826, 3.16e-05, -3.16e-05), 'a6': (0.407912, 0.017, -0.017), 'a7': (2.61928e+20, 2.1e+18, -2.1e+18)}","{'a5, a6': -5.370977765256392e-07, 'a5, a7': -65126236281690.78, 'a6, a7': 3.5477735908249676e+16, 'a5, a5': 9.967053856289958e-10, 'a6, a6': 0.0002904026653106192, 'a7, a7': 4.417003112436634e+36}","{'a5, a6': -0.9998, 'a5, a7': -0.9814, 'a6, a7': 0.9938}",0.03795,1.0,39,41.54,1.065,0.3607
16,a8*(a7*x0*(a4*x0*(a3*x0**2*(a2*x0**5 + a4*x0) + a5*x0 + a6) + a4*x0) + x0)**a1,"{'a1': (-5.64, 0, 0), 'a2': (2.0000000000000002e-20, 0, 0), 'a3': (4.4e-08, 0, 0), 'a4': (7.64229e-05, 6.89e-06, -6.89e-06), 'a5': (0.000572, 0, 0), 'a6': (0.00915, 0, 0), 'a7': (0.413139, 0.0393, -0.0393), 'a8': (2.62736e+20, 7.33e+17, -7.33e+17)}","{'a4, a7': -2.7063911809956403e-07, 'a4, a8': -4209939715836.5503, 'a7, a8': 2.438658828730293e+16, 'a4, a4': 4.748553837687573e-11, 'a7, a7': 0.0015434853116839161, 'a8, a8': 5.378342107509645e+35}","{'a4, a7': -0.9995, 'a4, a8': -0.8336, 'a7, a8': 0.8466}",0.0403,1.0,39,41.67,1.069,0.3552
17,a9*(a8*x0*(a5*x0*(a4*x0**2*(a3*x0**4*(a2 + a5*x0) + a5*x0) + a6*x0 + a7) + a5*x0) + x0)**a1,"{'a1': (-5.64, 0, 0), 'a2': (-0.0199, 0, 0), 'a3': (2.6e-16, 0, 0), 'a4': (4.4e-08, 0, 0), 'a5': (7.6729e-05, 5.47e-06, -5.47e-06), 'a6': (0.000572, 0, 0), 'a7': (0.00927, 0, 0), 'a8': (0.411471, 0.031, -0.031), 'a9': (2.62743e+20, 6.58e+17, -6.58e+17)}","{'a5, a8': -1.6947439140739597e-07, 'a5, a9': -2833077941506.8174, 'a8, a9': 1.645739013663623e+16, 'a5, a5': 2.98823363031568e-11, 'a8, a8': 0.0009621492771438784, 'a9, a9': 4.3278896221434915e+35}","{'a5, a8': -0.9994, 'a5, a9': -0.7871, 'a8, a9': 0.8068}",0.04041,1.0,39,41.56,1.066,0.3598
18,a8*(x0*(a4*x0*(a3*x0**2*(a2*x0**6 + a5*x0) + a6*x0 + a7) + a4*x0) + x0)**a1,"{'a1': (-5.64, 0, 0), 'a2': (3.08e-24, 0, 0), 'a3': (4.4e-08, 0, 0), 'a4': (3.17e-05, 0, 0), 'a5': (7.88417e-05, 7.1e-06, -7.1e-06), 'a6': (0.000568227, 4.58e-06, -4.58e-06), 'a7': (0.00889, 0, 0), 'a8': (2.6287e+20, 5.13e+17, -5.13e+17)}","{'a5, a6': -2.9340640604404285e-11, 'a5, a8': -2929128573480.344, 'a6, a8': 2267372291131.628, 'a5, a5': 5.044990489393001e-11, 'a6, a6': 2.0960202796305254e-11, 'a8, a8': 2.6302513209257903e+35}","{'a5, a6': -0.9023, 'a5, a8': -0.8042, 'a6, a8': 0.965}",0.04068,1.0,39,42.01,1.077,0.342
19,a10*(a9*x0*(a5*x0*(a4*x0**2*(a3*x0**2*(a2*x0**4 + a8) + a5*x0) + a6*x0 + a7) + a5*x0) + x0)**a1,"{'a1': (-5.64, 0, 0), 'a2': (5.21e-16, 0, 0), 'a3': (5.92e-09, 0, 0), 'a4': (4.4e-08, 0, 0), 'a5': (7.77126e-05, 6.94e-06, -6.94e-06), 'a6': (0.000572, 0, 0), 'a7': (0.00914, 0, 0), 'a8': (0.0425, 0, 0), 'a9': (0.406031, 0.0383, -0.0383), 'a10': (2.62672e+20, 7.37e+17, -7.37e+17)}","{'a5, a9': -2.6566736387648835e-07, 'a5, a10': -4264555557282.979, 'a9, a10': 2.3898145634758404e+16, 'a5, a5': 4.8190228952493635e-11, 'a9, a9': 0.0014655714847557353, 'a10, a10': 5.4292481309155894e+35}","{'a5, a9': -0.9995, 'a5, a10': -0.8338, 'a9, a10': 0.8466}",0.04013,1.0,39,41.96,1.076,0.3437
